x,y,z,dx,dy,dz,xx,yy,zz,dxx,dyy,dzz,label
-0.682,-0.135,0.793,0.092,-0.309,0.397,-2.38,-2.38,57.373,18.311,-13.489,46.021,1
-0.697,0.049,0.569,-0.014,0.185,-0.224,-56.213,6.226,38.879,-53.833,8.606,-18.494,1
-0.715,0.129,0.666,-0.018,0.079,0.097,20.569,-29.663,5.859,76.782,-35.889,-33.02,1
-0.606,0.115,0.749,0.109,-0.014,0.083,51.025,-62.5,-5.127,30.457,-32.837,-10.986,1
-0.654,0.088,0.721,-0.048,-0.027,-0.028,10.437,-10.803,-1.648,-40.588,51.697,3.479,1
-0.617,0.071,0.767,0.037,-0.017,0.046,23.56,-21.118,0.854,13.123,-10.315,2.502,1
-0.631,0.092,0.738,-0.014,0.021,-0.029,24.475,-7.568,-4.456,0.916,13.55,-5.31,1
-0.591,0.095,0.826,0.04,0.003,0.088,33.325,0.366,-1.831,8.85,7.935,2.625,1
-0.601,0.163,0.778,-0.01,0.069,-0.048,8.179,7.812,-10.681,-25.146,7.446,-8.85,1
-0.639,0.102,0.75,-0.038,-0.061,-0.028,-45.898,21.179,-17.273,-54.077,13.367,-6.592,1
-0.641,0.074,0.693,-0.002,-0.028,-0.057,-31.982,5.798,-13.428,13.916,-15.381,3.845,1
-0.662,-0.048,0.812,-0.021,-0.122,0.119,-2.319,-8.179,-12.451,29.663,-13.977,0.977,1
-0.62,-0.017,0.731,0.042,0.031,-0.081,13.55,-11.414,-21.606,15.869,-3.235,-9.155,1
-0.647,0.072,0.722,-0.028,0.088,-0.008,1.282,0.61,-14.465,-12.268,12.024,7.141,1
-0.601,0.089,0.834,0.047,0.017,0.112,15.93,-1.16,-19.348,14.648,-1.77,-4.883,1
-0.624,0.01,0.751,-0.023,-0.078,-0.083,34.668,-5.798,16.052,18.738,-4.639,35.4,1
-0.661,0.121,0.746,-0.037,0.111,-0.005,-20.142,7.019,-26.855,-54.81,12.817,-42.908,1
