x,yz,label
2464,-17.35,2
2528,-18.58,2
1888,-19.09,3
1984,-18.61,3
2128,-22.25,2
2368,-15.28,2
2016,-18.23,2
2000,-17.59,2
2576,-17.7,2
2736,-16.45,2
2064,-16.99,2
1968,-21.77,3
2608,-20.74,2
1872,-3.18,3
1856,3.11,3
1936,-15.21,3
2368,-22.53,2
1840,-15.86,3
2336,-24.54,2
1904,-17.87,3
2048,-22.82,2
2464,-22.82,2
2368,-23.18,2
1856,-36.1,3
2048,-26.24,2
2144,-24.21,2
1920,-27.65,3
2176,-22.2,2
1872,-6.08,3
1936,-6.27,3
2640,-6.33,2
1920,-6.34,3
1920,-22.15,3
1936,-21.17,3
2320,-22.17,2
2432,-21.01,2
2720,-18.78,2
2112,-2.58,2
2080,1.11,0
3120,1.82,0
3232,0.53,0
2464,1.42,0
2480,-4.04,2
2608,-21.33,2
2384,-23.65,2
2512,-3.42,2
2432,-8.4,2
2560,-8.78,2
2400,-9.18,2
2432,-2.62,2
2320,-6.56,2
1904,-4.84,3
1888,-7.99,3
1824,-3.06,3
2144,-6.8,2
2096,-8.2,2
2384,-5.63,2
1856,-1.82,3
2528,-6.69,2
2512,3,0
2512,1.38,0
2080,1.56,0
1936,0.33,3
1936,-4.86,3
2128,-7.12,2
2192,-7.53,2
2624,-4.19,2
2096,-17.02,2
2608,-5.84,2
2176,-18.18,2
2064,-17.01,2
2400,-16.67,2
2096,-7.69,2
2576,-21.57,2
1872,-21.58,3
2304,-10.48,2
2480,-10.42,2
1968,-10.91,3
1904,-20.47,3
2560,-20.84,2
2608,-21.72,2
1952,-8.82,3
2112,-8.87,2
2416,-8.82,2
2096,-9.23,2
2432,-9.25,2
1872,-9.64,3
1872,-9.64,3
1856,-9.64,3
2080,-10.07,2
2624,-10.88,2
2240,-10.48,2
2432,-10.48,2
1872,-21.77,3
2640,-21.82,2
1968,-21.41,3
2304,-10.9,2
2336,-10.9,2
2528,-9.64,2
2304,-9.64,2
1920,-9.25,3
1872,-9.64,3
2112,-10.48,2
2016,-11.77,2
2528,-9.64,2
2656,-11.29,2
1952,-22.67,3
2464,-21.77,2
2016,-12.17,2
1952,-21.05,3
2096,-21.79,2
1952,-21.77,3
2064,-21.88,2
1856,-21,3
1984,-21.33,3
1936,-21.26,3
2512,-20.67,2
2512,-5.28,2
2384,-5.53,2
2336,-18.15,2
2064,-19.47,2
2384,-22.8,2
1984,-22.03,3
2192,-22.03,2
2384,-7.22,2
2496,-18.26,2
1936,-21.94,3
2224,-23.54,2
1888,-23.44,3
2544,-24.62,2
2192,-23.42,2
2336,-23.47,2
2064,-23.53,2
2624,-23.04,2
2432,-23.87,2
1920,-23.37,3
2544,-23.44,2
2352,-23.03,2
2464,-22.27,2
1904,-23.08,3
2656,-23.83,2
1984,-24.01,3
1904,-26.24,3
2352,-19.64,2
2320,-20.38,2
2016,-18.76,2
2256,-18.42,2
2496,-18.46,2
1872,-18.52,3
1936,-18.58,3
1936,-18.6,3
1920,-19.38,3
2336,-19.91,2
2176,-19.14,2
2496,-19.19,2
2304,-18.76,2
1856,-18.83,3
1888,-18.88,3
2544,-18.9,2
2048,-18.99,2
2080,-19.47,2
2112,-18.99,2
2160,-19.91,2
2272,-19.43,2
2256,-20.35,2
1936,-19.88,3
2528,-19.97,2
2496,-19.91,2
2576,-19.95,2
2352,-19.97,2
2416,-19.47,2
1920,-19.57,3
1968,-19.5,3
1952,-19.9,3
2480,-19.39,2
2496,-20.43,2
2400,-20.04,2
2480,-19.21,2
1952,-19.23,3
1952,-18.83,3
2000,-20.24,2
2464,-20.17,2
2576,-19.72,2
1968,-21.08,3
2272,-20.27,2
2608,-20.2,2
2016,-20.61,2
1888,-20.22,3
2400,-20.69,2
2400,-20.69,2
2432,-20.38,2
2528,-24.22,2
1904,-18.97,3
2080,-21.69,2
2624,-24.27,2
2272,-24.32,2
1872,-23.44,3
1888,-16.59,3
2480,-16.04,2
2592,-15.67,2
1968,-14.92,3
2208,-15.31,2
2272,-14.01,2
2208,-16.58,2
1920,-16.58,3
1904,-17.08,3
2352,-17.49,2
2512,-17.9,2
2528,-18.31,2
1888,-18.39,3
1920,-17.6,3
2192,-16.3,2
2272,-16.72,2
2496,-17.12,2
1904,-17.13,3
2592,-17.18,2
2464,-16.34,2
2080,-16.32,2
2592,-15.89,2
2192,-15.46,2
2352,-22.96,2
2208,-22.56,2
2576,-22.98,2
2272,-21.72,2
1888,-23.59,3
2832,-22.03,2
1936,-17.67,3
1888,-19.71,3
2192,-19.3,2
2448,-15.05,2
1952,-23.47,3
2512,-24.13,2
1856,-19.27,3
2256,-18.73,2
2240,-1.69,2
1824,-17.32,3
2560,-18.47,2
2144,-10.59,2
2560,-22.39,2
2448,-6.65,2
1920,-22.13,3
2592,-21.62,2
2176,-21.94,2
2608,-21.88,2
2288,-21.89,2
2240,-8.46,2
1936,-23.85,3
2240,-9.2,2
2496,-24.3,2
2352,-24.33,2
2192,-23.83,2
2128,-13.47,2
2096,-24.25,2
2224,-13.47,2
2112,-13.47,2
2464,-23.78,2
1936,-23.37,3
2048,-22.49,2
2432,-13.06,2
2688,10.32,1
2304,8.42,1
