x,y,z,label
2240,-0.02,10.46,2
2432,-0.02,10.46,2
1872,-0.02,21.75,2
2640,-0.02,21.8,2
1968,-0.02,21.39,2
2304,-0.02,10.88,2
2336,-0.02,10.88,2
2528,-0.02,9.62,2
2304,-0.02,9.62,2
1920,-0.02,9.23,2
1872,-0.02,9.62,2
2112,-0.02,10.46,2
2016,-0.02,11.75,2
2528,-0.02,9.62,2
2656,-0.02,11.27,2
1952,-0.02,22.65,2
2464,-0.02,21.75,2
2016,-0.02,12.15,2
1952,-0.02,21.03,2
2096,-0.02,21.77,2
1952,-0.02,21.75,2
2064,-0.02,21.86,2
1856,-0.02,20.98,2
1984,-0.02,21.31,2
1936,-0.02,21.24,2
2512,4.57,25.24,2
2512,4.93,10.21,2
2384,2.87,8.4,2
2336,4.98,23.13,2
2064,4.43,23.9,2
2384,-0.02,22.78,2
1984,-0.02,22.01,2
2192,-0.02,22.01,2
2384,9.52,16.74,2
2496,5.31,23.57,2
1936,-0.02,21.92,2
2224,-0.02,23.52,2
1888,-0.02,23.42,2
2544,-0.02,24.6,2
2192,-0.02,23.4,2
2336,-0.02,23.45,2
2064,-0.02,23.51,2
2624,-0.02,23.02,2
2432,-0.02,23.85,2
1920,-0.02,23.35,2
2544,-0.02,23.42,2
2352,-0.02,23.01,2
2464,-0.02,22.25,2
1904,-0.02,23.06,2
2656,-0.02,23.81,2
1984,-0.02,23.99,2
1904,3.14,29.38,2
2352,3.25,22.89,2
2320,2.99,23.37,2
2016,3.25,22.01,2
2256,3.13,21.55,2
2496,3.09,21.55,2
1872,3.04,21.56,2
1936,2.97,21.55,2
1936,3.38,21.98,2
1920,2.99,22.37,2
2336,2.87,22.78,2
2176,2.82,21.96,2
2496,2.77,21.96,2
2304,3.2,21.96,2
1856,3.13,21.96,2
1888,3.08,21.96,2
2544,3.08,21.98,2
2048,3.02,22.01,2
2080,2.97,22.44,2
2112,2.99,21.98,2
2160,2.94,22.85,2
2272,2.99,22.42,2
2256,2.97,23.32,2
1936,3.33,23.21,2
2528,3.28,23.25,2
2496,2.99,22.9,2
2576,3.02,22.97,2
2352,3.02,22.99,2
2416,3.04,22.51,2
1920,3.4,22.97,2
1968,3.4,22.9,2
1952,3.35,23.25,2
2480,3.51,22.9,2
2496,3.14,23.57,2
2400,3.02,23.06,2
2480,3.38,22.59,2
1952,3.35,22.58,2
1952,2.89,21.72,2
2000,3.33,23.57,2
2464,2.87,23.04,2
2576,2.87,22.59,2
1968,2.84,23.92,2
2272,3.3,23.57,2
2608,2.84,23.04,2
2016,2.84,23.45,2
1888,2.84,23.06,2
2400,2.42,23.11,2
2400,2.42,23.11,2
2432,2.94,23.32,2
2528,2.77,26.99,2
1904,5.26,24.23,2
2080,3.04,24.73,2
2624,3.51,27.78,2
2272,3.02,27.34,2
1872,3.04,26.48,2
1888,5.88,22.47,2
2480,7.22,23.26,2
2592,6.34,22.01,2
1968,7.16,22.08,2
2208,6.75,22.06,2
2272,7.61,21.62,2
2208,5.88,22.46,2
1920,5.45,22.03,2
1904,5,22.08,2
2352,5,22.49,2
2512,5.4,23.3,2
2528,4.95,23.26,2
1888,5.36,23.75,2
1920,5.77,23.37,2
2192,6.19,22.49,2
2272,5.77,22.49,2
2496,5.77,22.89,2
1904,5.77,22.9,2
2592,6.19,23.37,2
2464,6.6,22.94,2
2080,6.6,22.92,2
2592,7.01,22.9,2
2192,7.01,22.47,2
2352,-0.02,22.94,2
2208,-0.02,22.54,2
2576,-0.02,22.96,2
2272,-0.02,21.7,2
1888,-0.02,23.57,2
2832,-0.02,22.01,2
1936,6.37,24.04,2
1888,4.62,24.33,2
2192,5.03,24.33,2
2448,6.63,21.68,2
1952,-0.02,23.45,2
2512,-0.02,24.11,2
1856,4.36,23.63,2
2256,6.96,25.69,2
2240,15.15,16.84,2
1824,9,26.32,2
2560,3.23,21.7,2
2144,-0.02,10.57,2
2560,-0.02,22.37,2
2448,3.85,10.5,2
1920,-0.02,22.11,2
2592,-0.02,21.6,2
2176,-0.02,21.92,2
2608,-0.02,21.86,2
2288,-0.02,21.87,2
2240,-0.02,8.44,2
1936,-0.02,23.83,2
2240,-0.02,9.18,2
2496,-0.02,24.28,2
2352,-0.02,24.31,2
2192,-0.02,23.81,2
2128,-0.02,13.45,2
2096,-0.02,24.23,2
2224,-0.02,13.45,2
2112,-0.02,13.45,2
2464,-0.02,23.76,2
1936,-0.02,23.35,2
